global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),angle
1691507136.9737165,14625528.0,318.0,326.0,
1691507136.9737165,14627096.0,317.0,317.0,
1691507136.9737165,14628668.0,315.0,329.0,
1691507136.9747164,14630236.0,323.0,297.0,
1691507136.9747164,14631804.0,318.0,322.0,
1691507136.9747164,14633376.0,317.0,344.0,
1691507136.9757185,14634944.0,320.0,356.0,
1691507136.9757185,14636512.0,323.0,364.0,
1691507136.9757185,14638092.0,324.0,369.0,
1691507136.9767168,14639652.0,325.0,367.0,
1691507136.9767168,14641224.0,323.0,358.0,
1691507136.9767168,14642792.0,323.0,348.0,
1691507136.9767168,14644360.0,320.0,329.0,
1691507136.9777155,14645928.0,320.0,320.0,
1691507137.027498,14647500.0,318.0,317.0,
1691507137.0284977,14649068.0,316.0,315.0,
1691507137.0284977,14650640.0,317.0,323.0,
1691507137.0284977,14652208.0,316.0,332.0,
1691507137.029498,14653776.0,318.0,349.0,
1691507137.029498,14655348.0,320.0,358.0,
1691507137.029498,14656916.0,323.0,365.0,
1691507137.029498,14658484.0,324.0,366.0,
1691507137.0304978,14660052.0,325.0,364.0,
1691507137.0304978,14661624.0,324.0,352.0,
1691507137.0304978,14663192.0,324.0,343.0,
1691507137.031498,14664764.0,320.0,331.0,
1691507137.031498,14666332.0,318.0,326.0,
1691507137.031498,14667900.0,317.0,319.0,
1691507137.031498,14669472.0,317.0,318.0,
1691507137.032498,14671040.0,317.0,321.0,
1691507137.032498,14672608.0,317.0,331.0,
1691507137.032498,14674180.0,318.0,352.0,
1691507137.033498,14675748.0,320.0,361.0,
1691507137.033498,14677316.0,321.0,384.0,
1691507137.033498,14678888.0,327.0,366.0,
1691507137.034499,14680456.0,330.0,345.0,
1691507137.034499,14682024.0,326.0,349.0,
1691507137.034499,14683592.0,322.0,341.0,
1691507137.034499,14685164.0,320.0,334.0,
1691507137.035498,14686732.0,317.0,323.0,
1691507137.035498,14688304.0,316.0,320.0,
1691507137.035498,14689872.0,314.0,320.0,
1691507137.0364978,14691440.0,316.0,328.0,
1691507137.0364978,14693012.0,318.0,336.0,
1691507137.0364978,14694580.0,318.0,367.0,
1691507137.0374985,14696148.0,327.0,346.0,
1691507137.0374985,14697720.0,328.0,362.0,
1691507137.0374985,14699288.0,326.0,373.0,
1691507137.038504,14700856.0,323.0,362.0,
1691507137.038504,14702428.0,324.0,354.0,
1691507137.038504,14703996.0,321.0,336.0,
1691507137.0394993,14705564.0,318.0,323.0,
1691507137.0394993,14707136.0,316.0,315.0,
