global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Touch sensor 3 (ring finger),Touch sensor 2 (middle finger),Touch sensor 1 (index finger)
1694001872.575713,70728692.0,336.0,328.0,0.0,0.0,1.0
1694001872.575713,70730788.0,343.0,331.0,0.0,0.0,1.0
1694001872.5767121,70732880.0,321.0,330.0,0.0,0.0,1.0
1694001872.5777123,70734972.0,335.0,331.0,0.0,0.0,1.0
1694001872.5777123,70737064.0,330.0,328.0,0.0,0.0,1.0
1694001872.578714,70739156.0,290.0,325.0,0.0,0.0,1.0
1694001872.578714,70741248.0,325.0,322.0,0.0,0.0,1.0
1694001872.579713,70743344.0,313.0,321.0,0.0,0.0,1.0
1694001872.628117,70745436.0,335.0,322.0,0.0,0.0,1.0
1694001872.6291142,70747528.0,336.0,324.0,0.0,0.0,1.0
1694001872.6291142,70749620.0,331.0,327.0,0.0,0.0,1.0
1694001872.6301157,70751712.0,330.0,330.0,0.0,0.0,1.0
1694001872.6301157,70753804.0,331.0,330.0,0.0,0.0,1.0
1694001872.6311145,70755896.0,323.0,326.0,0.0,0.0,1.0
1694001872.6321151,70757988.0,331.0,328.0,0.0,0.0,1.0
1694001872.6321151,70760080.0,328.0,326.0,0.0,0.0,1.0
1694001872.6331162,70762176.0,331.0,324.0,0.0,0.0,1.0
1694001872.6331162,70764268.0,325.0,322.0,0.0,0.0,1.0
1694001872.6341162,70766360.0,329.0,323.0,0.0,0.0,1.0
1694001872.6341162,70768452.0,314.0,329.0,0.0,0.0,1.0
1694001872.6351156,70770544.0,323.0,329.0,0.0,0.0,1.0
1694001872.6351156,70772636.0,336.0,328.0,0.0,0.0,0.0
1694001872.6361153,70774728.0,333.0,333.0,0.0,0.0,0.0
1694001872.6371155,70776824.0,326.0,323.0,0.0,0.0,0.0
1694001872.6371155,70778916.0,324.0,319.0,0.0,0.0,0.0
1694001872.6381145,70781008.0,328.0,326.0,0.0,0.0,0.0
1694001872.6381145,70783100.0,327.0,321.0,0.0,0.0,0.0
1694001872.6391153,70785192.0,326.0,325.0,0.0,0.0,0.0
1694001872.6391153,70787284.0,325.0,330.0,0.0,0.0,0.0
1694001872.6401155,70789376.0,326.0,328.0,0.0,0.0,0.0
1694001872.6401155,70791468.0,327.0,324.0,0.0,0.0,0.0
1694001872.641115,70793560.0,327.0,330.0,0.0,0.0,0.0
1694001872.6421144,70795656.0,328.0,329.0,0.0,0.0,0.0
1694001872.6421144,70797748.0,328.0,329.0,0.0,0.0,0.0
1694001872.6431155,70799840.0,328.0,327.0,0.0,0.0,0.0
1694001872.6431155,70801932.0,327.0,320.0,0.0,0.0,0.0
1694001872.6441174,70804024.0,327.0,323.0,0.0,0.0,0.0
1694001872.6441174,70806116.0,327.0,325.0,0.0,0.0,0.0
1694001872.645115,70808208.0,327.0,326.0,0.0,0.0,0.0
1694001872.645115,70810300.0,328.0,334.0,0.0,0.0,0.0
1694001872.6875248,70812396.0,326.0,333.0,0.0,0.0,0.0
1694001872.688525,70814488.0,325.0,326.0,0.0,0.0,0.0
1694001872.688525,70816580.0,331.0,325.0,0.0,0.0,0.0
1694001872.689525,70818672.0,344.0,326.0,0.0,0.0,0.0
1694001872.6905267,70820764.0,314.0,328.0,0.0,0.0,0.0
1694001872.6905267,70822856.0,318.0,319.0,0.0,0.0,0.0
1694001872.691525,70824948.0,346.0,313.0,0.0,0.0,0.0
1694001872.691525,70827040.0,324.0,321.0,0.0,0.0,0.0
1694001872.6925251,70829136.0,303.0,327.0,0.0,0.0,0.0
1694001872.6925251,70831228.0,333.0,331.0,0.0,0.0,0.0
1694001872.6935248,70833320.0,333.0,335.0,0.0,0.0,0.0
1694001872.694525,70835412.0,322.0,334.0,0.0,0.0,0.0
1694001872.694525,70837504.0,334.0,334.0,0.0,0.0,0.0
1694001872.695525,70839596.0,332.0,330.0,0.0,0.0,0.0
1694001872.695525,70841688.0,325.0,326.0,0.0,0.0,0.0
1694001872.6965258,70843780.0,326.0,322.0,0.0,0.0,0.0
1694001872.6965258,70845876.0,330.0,322.0,0.0,0.0,0.0
1694001872.6975248,70847964.0,335.0,322.0,0.0,0.0,0.0
1694001872.6975248,70850060.0,319.0,319.0,0.0,0.0,0.0
1694001872.6985254,70852152.0,317.0,309.0,0.0,0.0,0.0
1694001872.6995256,70854244.0,333.0,327.0,0.0,0.0,0.0
1694001872.6995256,70856336.0,334.0,334.0,0.0,0.0,0.0
1694001872.7005253,70858428.0,339.0,334.0,0.0,0.0,0.0
1694001872.7005253,70860524.0,316.0,329.0,0.0,0.0,0.0
1694001872.7015262,70862612.0,318.0,326.0,0.0,0.0,0.0
1694001872.7015262,70864708.0,329.0,324.0,0.0,0.0,0.0
1694001872.702525,70866800.0,328.0,321.0,0.0,0.0,0.0
1694001872.7035244,70868892.0,327.0,326.0,0.0,0.0,0.0
