global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Load sensor value (3)
1692803855.0982163,492826512.0,348.0,327.0,230849.0
1692803855.0982163,492829044.0,343.0,341.0,230849.0
1692803855.0992167,492831572.0,328.0,341.0,230849.0
1692803855.0992167,492834100.0,260.0,314.0,230849.0
1692803855.0992167,492836628.0,320.0,330.0,230849.0
1692803855.1002164,492839156.0,309.0,317.0,230849.0
1692803855.1002164,492841684.0,327.0,324.0,230849.0
1692803855.1012163,492844212.0,391.0,331.0,230849.0
1692803855.1012163,492846740.0,316.0,319.0,230849.0
1692803855.1528304,492849272.0,322.0,326.0,230849.0
1692803855.1528304,492851800.0,301.0,316.0,230849.0
1692803855.1538303,492854328.0,343.0,321.0,230849.0
1692803855.1538303,492856856.0,305.0,333.0,237921.0
1692803855.1548302,492859652.0,359.0,330.0,237921.0
1692803855.1548302,492862184.0,344.0,337.0,237921.0
1692803855.1548302,492864712.0,270.0,346.0,237921.0
1692803855.1548302,492867240.0,326.0,330.0,237921.0
1692803855.1558309,492869768.0,349.0,330.0,237921.0
1692803855.156834,492872296.0,372.0,330.0,237921.0
1692803855.156834,492874824.0,313.0,320.0,237921.0
1692803855.156834,492877352.0,297.0,342.0,237921.0
1692803855.1578338,492879888.0,297.0,208.0,237921.0
1692803855.1578338,492882408.0,351.0,259.0,237921.0
1692803855.1588316,492884940.0,330.0,364.0,237921.0
1692803855.1588316,492887468.0,334.0,368.0,237921.0
1692803855.1588316,492889996.0,330.0,357.0,237921.0
1692803855.159837,492892524.0,331.0,332.0,237921.0
1692803855.159837,492895052.0,272.0,314.0,237921.0
1692803855.159837,492897580.0,325.0,340.0,237921.0
1692803855.1608303,492900108.0,326.0,306.0,237921.0
1692803855.1608303,492902636.0,327.0,327.0,237921.0
1692803855.1608303,492905164.0,315.0,340.0,237921.0
1692803855.1618304,492907692.0,430.0,331.0,237921.0
1692803855.212717,492910224.0,245.0,330.0,237921.0
1692803855.213717,492912752.0,276.0,334.0,237921.0
1692803855.213717,492915280.0,321.0,310.0,237921.0
1692803855.2147188,492917808.0,346.0,301.0,237921.0
1692803855.2147188,492920336.0,337.0,324.0,237921.0
1692803855.2147188,492922864.0,333.0,331.0,237921.0
1692803855.2157218,492925392.0,309.0,338.0,237921.0
1692803855.2157218,492927920.0,361.0,319.0,237921.0
1692803855.2167187,492930452.0,288.0,324.0,237921.0
1692803855.2167187,492932980.0,340.0,337.0,237921.0
1692803855.2167187,492935508.0,280.0,322.0,237921.0
1692803855.217717,492938036.0,360.0,318.0,237921.0
1692803855.217717,492940564.0,329.0,323.0,237921.0
1692803855.2187197,492943092.0,335.0,331.0,237921.0
1692803855.2187197,492945620.0,310.0,320.0,237921.0
1692803855.2197218,492948148.0,374.0,327.0,237921.0
1692803855.2197218,492950680.0,310.0,334.0,237921.0
1692803855.2207184,492953204.0,312.0,328.0,237921.0
1692803855.2207184,492955732.0,289.0,319.0,240978.0
1692803855.2207184,492958532.0,345.0,338.0,240978.0
1692803855.2217195,492961060.0,326.0,322.0,240978.0
1692803855.222718,492963588.0,390.0,287.0,240978.0
1692803855.222718,492966120.0,297.0,322.0,240978.0
1692803855.222718,492968648.0,258.0,331.0,240978.0
1692803855.275797,492971176.0,341.0,329.0,240978.0
1692803855.275797,492973704.0,323.0,341.0,240978.0
1692803855.2767923,492976232.0,323.0,336.0,240978.0
1692803855.2767923,492978760.0,344.0,322.0,240978.0
1692803855.2777915,492981288.0,372.0,338.0,240978.0
1692803855.2777915,492983816.0,282.0,346.0,240978.0
1692803855.2777915,492986348.0,264.0,337.0,240978.0
1692803855.2787912,492988876.0,320.0,306.0,240978.0
1692803855.2787912,492991400.0,352.0,309.0,240978.0
1692803855.2797916,492993932.0,318.0,325.0,240978.0
1692803855.2797916,492996460.0,374.0,296.0,240978.0
1692803855.2807903,492998988.0,331.0,335.0,240978.0
1692803855.2807903,493001516.0,296.0,354.0,240978.0
1692803855.2807903,493004044.0,270.0,323.0,240978.0
1692803855.2817912,493006572.0,358.0,329.0,240978.0
1692803855.2817912,493009100.0,333.0,339.0,240978.0
1692803855.2827919,493011628.0,332.0,318.0,240978.0
1692803855.2827919,493014160.0,337.0,332.0,240978.0
1692803855.283791,493016688.0,329.0,322.0,240978.0
1692803855.283791,493019216.0,324.0,313.0,240978.0
1692803855.283791,493021744.0,313.0,342.0,240978.0
1692803855.2847905,493024280.0,303.0,335.0,240978.0
1692803855.2847905,493026800.0,341.0,282.0,240978.0
1692803855.285791,493029332.0,331.0,335.0,240978.0
1692803855.285791,493031860.0,319.0,330.0,240978.0
1692803855.3391533,493034384.0,293.0,334.0,240978.0
1692803855.3401537,493036916.0,332.0,333.0,240978.0
1692803855.3401537,493039444.0,315.0,319.0,240978.0
1692803855.3411536,493041972.0,338.0,298.0,240978.0
1692803855.3411536,493044500.0,440.0,325.0,240978.0
1692803855.342155,493047028.0,241.0,341.0,240978.0
1692803855.342155,493049556.0,321.0,321.0,240978.0
1692803855.342155,493052084.0,366.0,324.0,240978.0
1692803855.3431537,493054616.0,292.0,325.0,240978.0
1692803855.3431537,493057144.0,309.0,333.0,240217.0
1692803855.3441536,493059940.0,320.0,327.0,240217.0
1692803855.3441536,493062472.0,335.0,318.0,240217.0
1692803855.3451538,493064996.0,349.0,319.0,240217.0
1692803855.3451538,493067528.0,343.0,331.0,240217.0
1692803855.3451538,493070056.0,249.0,321.0,240217.0
1692803855.3461528,493072584.0,318.0,322.0,240217.0
1692803855.3461528,493075112.0,353.0,330.0,240217.0
1692803855.3471541,493077640.0,293.0,328.0,240217.0
1692803855.3471541,493080168.0,317.0,324.0,240217.0
1692803855.3481543,493082696.0,321.0,333.0,240217.0
1692803855.3481543,493085228.0,354.0,336.0,240217.0
1692803855.3481543,493087764.0,316.0,338.0,240217.0
1692803855.3491535,493090284.0,296.0,334.0,240217.0
1692803855.3491535,493092812.0,326.0,311.0,240217.0
1692803855.3501537,493095340.0,336.0,308.0,240217.0
1692803855.4001887,493097868.0,313.0,270.0,240217.0
1692803855.4001887,493100396.0,331.0,344.0,240217.0
1692803855.4011862,493102924.0,282.0,322.0,240217.0
1692803855.4011862,493105456.0,344.0,323.0,240217.0
1692803855.4021862,493107980.0,327.0,342.0,240217.0
1692803855.4021862,493110508.0,322.0,330.0,240217.0
1692803855.4021862,493113036.0,393.0,326.0,240217.0
1692803855.4031868,493115568.0,259.0,313.0,240217.0
1692803855.4031868,493118096.0,321.0,327.0,240217.0
1692803855.4041865,493120624.0,296.0,339.0,240217.0
1692803855.4041865,493123152.0,351.0,318.0,240217.0
1692803855.405188,493125680.0,317.0,341.0,240217.0
1692803855.405188,493128208.0,401.0,327.0,240217.0
1692803855.405188,493130736.0,299.0,333.0,240217.0
1692803855.4061866,493133268.0,279.0,310.0,240217.0
1692803855.4061866,493135792.0,314.0,319.0,240217.0
1692803855.4071863,493138324.0,332.0,315.0,240217.0
1692803855.4071863,493140852.0,375.0,388.0,240217.0
1692803855.4081874,493143380.0,330.0,348.0,240217.0
1692803855.4081874,493145908.0,283.0,278.0,240217.0
1692803855.4091866,493148436.0,367.0,243.0,240217.0
1692803855.4091866,493150964.0,267.0,348.0,240217.0
1692803855.4091866,493153492.0,287.0,307.0,240217.0
1692803855.4101863,493156024.0,381.0,336.0,241082.0
1692803855.4101863,493158832.0,357.0,351.0,241082.0
1692803855.463811,493161360.0,310.0,345.0,241082.0
1692803855.4648113,493163888.0,293.0,357.0,241082.0
1692803855.4648113,493166416.0,330.0,363.0,241082.0
1692803855.46581,493168944.0,322.0,275.0,241082.0
1692803855.46581,493171472.0,303.0,325.0,241082.0
1692803855.46581,493174000.0,286.0,257.0,241082.0
1692803855.466812,493176528.0,347.0,336.0,241082.0
1692803855.466812,493179060.0,307.0,352.0,241082.0
1692803855.4678102,493181584.0,335.0,329.0,241082.0
1692803855.4678102,493184116.0,354.0,326.0,241082.0
1692803855.4688103,493186644.0,328.0,328.0,241082.0
1692803855.4688103,493189172.0,316.0,333.0,241082.0
1692803855.46981,493191700.0,289.0,325.0,241082.0
1692803855.46981,493194228.0,319.0,327.0,241082.0
1692803855.4708104,493196756.0,341.0,323.0,241082.0
1692803855.4708104,493199284.0,334.0,334.0,241082.0
1692803855.4708104,493201812.0,359.0,329.0,241082.0
1692803855.4718099,493204340.0,341.0,330.0,241082.0
1692803855.4718099,493206868.0,295.0,334.0,241082.0
1692803855.47281,493209400.0,332.0,338.0,241082.0
1692803855.47281,493211928.0,331.0,305.0,241082.0
1692803855.47281,493214456.0,313.0,313.0,241082.0
1692803855.4738104,493216984.0,307.0,330.0,241082.0
1692803855.4738104,493219512.0,350.0,326.0,241082.0
1692803855.4748106,493222040.0,308.0,248.0,241082.0
1692803855.5234923,493224568.0,355.0,345.0,241082.0
1692803855.5244927,493227096.0,343.0,353.0,241082.0
1692803855.5244927,493229624.0,336.0,345.0,241082.0
1692803855.5244927,493232160.0,280.0,354.0,241082.0
1692803855.525492,493234684.0,335.0,284.0,241082.0
1692803855.525492,493237212.0,324.0,320.0,241082.0
1692803855.5264916,493239740.0,345.0,312.0,241082.0
1692803855.5264916,493242268.0,342.0,301.0,241082.0
